Acronym,"Full Name"
AAMU,"Alabama A&M University"
ACU,"Abilene Christian University"
AFA,"United States Air Force Academy"
AKR,"University of Akron"
ALA,"University of Alabama"
ALB,"University at Albany"
ALCN,"Alcorn State University"
ALST,"Alabama State University"
AMCC,Texas A&M University Corpus Christi
APP,"Appalachian State University"
APSU,"Austin Peay State University"
ARIZ,"University of Arizona"
ARK,"University of Arkansas"
ARMY,"United States Military Academy"
ARST,"Arkansas State University"
ASU,"Arizona State University"
AUB,"Auburn University"
BALL,"Ball State University"
BAY,"Baylor University"
BC,"Boston College"
BCU,"Bethune–Cookman University"
BEL,"Belmont University"
BELL,"Bellarmine University"
BGSU,"Bowling Green State University"
BING,"Binghamton University"
BRAD,"Bradley University"
BRWN,"Brown University"
BRY,"Bryant University"
BUCK,"Bucknell University"
BUT,"Butler University"
BYU,"Brigham Young University"
CAL,"University of California, Berkeley"
CAM,"Campbell University"
CAN,"University of California, Santa Barbara"
CARK,"University of California, Riverside"
CBU,"California Baptist University"
CCSU,"Central Connecticut State University"
CCU,"Coastal Carolina University"
CHSO,"Charleston Southern University"
CIN,"University of Cincinnati"
CIT,"The Citadel Military College of South Carolina"
CLEM,"Clemson University"
CLT,"University of North Carolina at Charlotte"
CMU,"Central Michigan University"
COFC,"College of Charleston"
COLU,"Columbia University"
CONN,"University of Connecticut"
COPP,"Coppin State University"
COR,"Cornell University"
CP,"California Polytechnic State University"
CREI,"Creighton University"
CSUB,"California State University, Bakersfield"
CSUF,"California State University, Fullerton"
CSUN,"California State University, Northridge"
DART,"Dartmouth College"
DAV,"Davidson College"
DAY,"University of Dayton"
DBU,"Dallas Baptist University"
DEL,"University of Delaware"
DSU,"Delaware State University"
DUKE,"Duke University"
ECU,"East Carolina University"
EIU,"Eastern Illinois University"
EKU,"Eastern Kentucky University"
ELON,"Elon University"
EMU,"Eastern Michigan University"
ETSU,"East Tennessee State University"
EVAN,"University of Evansville"
FAIR,"Fairfield University"
FAMU,"Florida A&M University"
FAU,"Florida Atlantic University"
FDU,"Fairleigh Dickinson University"
FGCU,"Florida Gulf Coast University"
FIU,"Florida International University"
FLA,"University of Florida"
FOR,"Fordham University"
FRES,"Fresno State University"
FSU,"Florida State University"
GASO,"Georgia Southern University"
GAST,"Georgia State University"
GCU,"Grand Canyon University"
GMU,"George Mason University"
GONZ,"Gonzaga University"
GRAM,"Grambling State University"
GT,"Georgia Institute of Technology"
GTWN,"Georgetown University"
GW,"George Washington University"
GWEB,"Gardner–Webb University"
HALL,"Seton Hall University"
HART,"University of Hartford"
HARV,"Harvard University"
HAW,"University of Hawaii Manoa"
HC,"College of the Holy Cross"
HCU,"Houston Christian University"
HOF,"Hofstra University"
HOU,"University of Houston"
HPU,"High Point University"
ILL,"University of Illinois"
ILST,"Illinois State University"
INST,"Indiana State University"
IONA,"Iona University"
IOWA,"University of Iowa"
IU,"Indiana University"
JAX,"Jacksonville University"
JKST,"Jackson State University"
JMU,"James Madison University"
JOES,"St. Joseph's University"
JVST,"Jacksonville State University"
KENN,"Kennesaw State University"
KENT,"Kent State University"
KSU,"Kennesaw State University"
KU,"University of Kansas"
LAF,"Lafayette College"
LAM,"Lamar University"
LAS,"La Salle University"
LBSU,"Long Beach State University"
LEH,"Lehigh University"
LEM,"Le Moyne College"
LIB,"Liberty University"
LIN,"Lindenwood University"
LIP,"Lipscomb University"
LIU,"Long Island University"
LMU,"Loyola Marymount University"
LONG,"Longwood University"
LOU,"University of Louisville"
LR,"Little Rock University"
LSU,"Louisiana State University"
LT,"Louisiana Tech University"
M-OH,"Miami University-Ohio"
MAN,"Manhattan College"
MASS,"University of Massachusetts Amherst"
MCN,"McNeese State University"
MD,"University of Maryland"
ME,"University of Maine"
MEM,"University of Memphis"
MER,"Merrimack College"
MERC,"Mercer University"
MIA,"University of Miami"
MICH,"University of Michigan"
MILW,"University of Wisconsin–Milwaukee"
MINN,"University of Minnesota"
MISS,"University of Mississippi"
MIZ,"University of Missouri"
MONM,"Monmouth University"
MORE,"Morehead State University"
MOST,"Missouri State University"
MRMK,"Mount St. Mary's University"
MRSH,"Marshall University"
MRST,"Marist College"
MSM,"Mississippi Valley State University"
MSST,"Mississippi State University"
MSU,"Michigan State University"
MTSU,"Middle Tennessee State University"
MUR,"Murray State University"
MVSU,"Mississippi Valley State University"
NAVY,"United States Naval Academy"
NCAT,"North Carolina A&T State University"
NCCU,"North Carolina Central University"
NCSU,"North Carolina State University"
ND,"University of Notre Dame"
NDSU,"North Dakota State University"
NE,"Northeastern University"
NEB,"University of Nebraska–Lincoln"
NEV,"University of Nevada, Reno"
NIA,"Niagara University"
NICH,"Nicholls State University"
NIU,"University of Northern Illinois"
NJIT,"New Jersey Institute of Technology"
NKU,"Northern Kentucky University"
NMSU,"New Mexico State University"
NORF,"Norfolk State University"
NU,"Northwestern University"
NWST,"Northwestern State University"
OAK,"Oakland University"
ODU,"Old Dominion University"
OHIO,"Ohio University"
OKST,"Oklahoma State University"
OMA,"University of Nebraska at Omaha"
ORE,"University of Oregon"
ORST,"Oregon State University"
ORU,"Oral Roberts University"
OSU,"Ohio State University"
OU,"University of Oklahoma"
PAC,"University of the Pacific"
PENN,"University of Pennsylvania"
PEPP,"Pepperdine University"
PFW,"Purdue Fort Wayne"
PITT,"University of Pittsburgh"
PORT,"Portland State University"
PRES,"Presbyterian College"
PRIN,"Princeton University"
PSU,"Penn State University"
PUR,"Purdue University"
PV,"Prairie View A&M University"
QUC,"Quinnipiac University"
QUIN,"Quinnipiac University"
RAD,"Radford University"
RGV,"University of Texas–Rio Grande Valley"
RICE,"Rice University"
RICH,"University of Richmond"
RID,"Rider University"
RUTG,"Rutgers University"
SAC,"Sacramento State University"
SAM,"Sam Houston State University"
SBU,"St. Bonaventure University"
SC,"University of South Carolina"
SCU,"Santa Clara University"
SDST,"South Dakota State University"
SDSU,"San Diego State University"
SEA,"Seattle University"
SELA,"Southeastern Louisiana University"
SEMO,"Southeast Missouri State University"
SF,"University of San Francisco"
SFA,"Stephen F. Austin State University"
SHSU,"Sam Houston State University"
SHU,"Sacred Heart University"
SIE,"Siena College"
SIU,"Southern Illinois University"
SIUE,"Southern Illinois University Edwardsville"
SJSU,"San Jose State University"
SJU,"St. John's University"
SLU,"Saint Louis University"
SMC,"St. Mary's College of California"
SOU,"Southern University and A&M College"
SPU,"St. Peter's College"
STAN,"Stanford University"
STBK,"St. Bonaventure University"
STET,"Stetson University"
STMN,"University of St. Thomas, Minnesota"
STO,"Stony Brook University"
TA&M,"Texas A&M University"
TAR,"Tarleton State University"
TENN,"University of Tennessee Knoxville"
TCU,"Texas Christian University"
TEX,"University of Texas at Austin"
TNTC,"Tennessee Tech University"
TOL,"University of Toledo"
TOW,"Towson University"
TROY,"Troy University"
TTU,"Texas Tech University"
TULN,"Tulane University"
TXSO,"Texas Southern University"
TXST,"Texas State University"
UAB,"University of Alabama at Birmingham"
UAPB,"University of Arkansas at Pine Bluff"
UCD,"University of California, Davis"
UCF,"University of Central Florida"
UCI,"University of California, Irvine"
UCLA,"University of California, Los Angeles"
UCR,"University of California, Riverside"
UCSB,"University of California, Santa Barbara"
UCSD,"University of California, San Diego"
UGA,"University of Georgia"
UIC,"University of Illinois at Chicago"
UIW,"University of the Incarnate Word"
UK,"University of Kentucky"
UL,"University of Louisiana at Lafayette"
ULM,"University of Louisiana at Monroe"
UMBC,"University of Maryland, Baltimore County"
UMES,"University of Maryland Eastern Shore"
UML,"University of Massachusetts Lowell"
UNA,"University of North Alabama"
UNC,"University of North Carolina at Chapel Hill"
UNCA,"University of North Carolina at Asheville"
UNCG,"University of North Carolina at Greensboro"
UNCO,"University of Northern Colorado"
UNCW,"University of North Carolina at Wilmington"
UNF,"University of North Florida"
UNLV,"University of Nevada, Las Vegas"
UNM,"University of New Mexico"
UNO,"University of New Orleans"
UPST,"University of South Carolina Upstate"
URI,"University of Rhode Island"
USA,"University of South Alabama"
USC,"University of Southern California"
USD,"University of San Diego"
USF,"University of South Florida"
USI,"University of Southern Indiana"
USM,"University of Southern Mississippi"
UTA,"University of Texas at Arlington"
UTAH,"University of Utah"
UTM,"University of Tennessee at Martin"
UTSA,"University of Texas at San Antonio"
UTU,"Utah Tech University"
UVA,"University of Virginia"
UVU,"Utah Valley University"
VAL,"Valparaiso University"
VAN,"Vanderbilt University"
VCU,"Virginia Commonwealth University"
VILL,"Villanova University"
VMI,"Virginia Military Institute"
VT,"Virginia Tech"
W&M,"College of William & Mary"
WAG,"Wagner College"
WAKE,"Wake Forest University"
WASH,"University of Washington"
WCU,"Western Carolina University"
WES,"University of West Georgia"
WICH,"Wichita State University"
WIN,"Winthrop University"
WIU,"Western Illinois University"
WKU,"Western Kentucky University"
WMU,"Western Michigan University"
WOF,"Wofford College"
WRST,"Wright State University"
WSU,"Washington State University"
WVU,"West Virginia University"
XAV,"Xavier University"
YALE,"Yale University"
YSU,"Youngstown State University"
